Campign Id,Visits,Clicks,Conversions,Revenue,CTR,CR,CV,EPV,EPC,AP
1488427,23090,1635,214,452.8,0.07081,0.130887,0.009268,0.0196,0.2769,2.1159
1712099,24047,2337,213,625.4,0.097185,0.091142,0.008858,0.026,0.2676,2.9362
1769695,8610,2459,204,517.8,0.285598,0.082961,0.023693,0.0601,0.2106,2.5382
1230758,8469,2101,182,452.9,0.248081,0.086625,0.02149,0.0535,0.2156,2.4885
1123894,54418,2173,171,432,0.039932,0.078693,0.003142,0.0079,0.1988,2.5263
1299303,5691,1588,165,404.0002,0.279037,0.103904,0.028993,0.071,0.2544,2.4485
1335457,2734,558,139,265.5,0.204097,0.249104,0.050841,0.0971,0.4758,1.9101
1807311,3248,1317,124,313.2,0.40548,0.094153,0.038177,0.0964,0.2378,2.5258
1704535,5013,1414,122,310.4,0.282067,0.08628,0.024337,0.0619,0.2195,2.5443
1330607,16268,823,119,258.75,0.05059,0.144593,0.007315,0.0159,0.3144,2.1744
1521211,5445,533,113,215.8,0.097888,0.212008,0.020753,0.0396,0.4049,1.9097
1234672,2510,689,113,287.5,0.274502,0.164006,0.04502,0.1145,0.4173,2.5442
1807313,3394,508,107,270.7,0.149676,0.21063,0.031526,0.0798,0.5329,2.5299
1442739,125687,2937,95,282.8,0.023368,0.032346,0.000756,0.0023,0.0963,2.9768
1293972,5352,911,94,190.3,0.170217,0.103183,0.017564,0.0356,0.2089,2.0245
1379857,6881,1078,87,208.2124,0.156663,0.080705,0.012644,0.0303,0.1931,2.3932
1300859,8237,1253,84,261.05,0.152118,0.067039,0.010198,0.0317,0.2083,3.1077
1487095,19561,2333,79,202.5,0.119268,0.033862,0.004039,0.0104,0.0868,2.5633
1303819,10130,941,79,218.95,0.092892,0.083953,0.007799,0.0216,0.2327,2.7715
1487135,1350,514,76,189.8,0.380741,0.14786,0.056296,0.1406,0.3693,2.4974
1281508,3363,903,71,206.55,0.26851,0.078627,0.021112,0.0614,0.2287,2.9092
1123898,7136,1027,70,175.4,0.143918,0.06816,0.009809,0.0246,0.1708,2.5057
1487091,5356,740,65,151.95,0.138163,0.087838,0.012136,0.0284,0.2053,2.3377
1465815,10552,627,65,153.55,0.05942,0.103668,0.00616,0.0146,0.2449,2.3623
